Ano,Trimestre,Departamento,Municipio,N Accesos fijos a internet,poblacion Dane,Indice
2019,1,CUNDINAMARCA,PASCA,66,9341,0.0071
2019,3,CUNDINAMARCA,COGUA,1960,23286,0.0842
2019,2,BOYACA,LA VICTORIA,32,1118,0.0286
2019,2,ANTIOQUIA,LIBORINA,417,10040,0.0415
2019,4,CUNDINAMARCA,CHAGUANI,28,4255,0.0066
2020,1,VALLE DEL CAUCA,TORO,994,14389,0.0691
2019,4,SUCRE,GUARANDA,25,18198,0.0014
2019,3,BOYACA,SAN LUIS DE GACENO,107,5476,0.0195
2019,4,BOYACA,JERICO,16,3900,0.0041
2019,1,SUCRE,SAMPUES,1880,47746,0.0394
2019,3,HUILA,PITAL,414,13851,0.0299
2018,3,NORTE DE SANTANDER,CHITAGA,98,11564,0.0085
2019,4,CASANARE,CHAMEZA,20,2571,0.0078
2019,3,HUILA,SANTA MARIA,228,10422,0.0219
2018,3,CAQUETA,BELEN DE LOS ANDAQUIES,28,11021,0.0025
2019,1,SANTANDER,SIMACOTA,88,10138,0.0087
2019,4,SANTANDER,SANTA BARBARA,18,2425,0.0074
2018,4,NORTE DE SANTANDER,TOLEDO,88,15440,0.0057
2018,4,NORTE DE SANTANDER,GRAMALOTE,48,7295,0.0066
2018,4,BOLIVAR,MARGARITA,111,10673,0.0104
2019,1,BOYACA,VILLA DE LEYVA,1458,16617,0.0877
2019,2,VALLE DEL CAUCA,VIJES,207,12817,0.0162
2019,3,CHOCO,MEDIO BAUDO,28,15405,0.0018
2018,4,ANTIOQUIA,GIRALDO,198,5544,0.0357
2019,3,TOLIMA,ROVIRA,363,21556,0.0168
2018,3,META,URIBE,152,9284,0.0164
2020,1,CAQUETA,LA MONTANITA,114,14692,0.0078
2019,4,CAQUETA,MORELIA,61,3718,0.0164
2018,3,BOYACA,CHIQUINQUIRA,4636,56054,0.0827
2019,2,CAUCA,EL TAMBO,404,53840,0.0075
2020,1,CUNDINAMARCA,PASCA,33,9626,0.0034
2019,4,CAUCA,SUAREZ,28,32226,9e-04
2020,1,NORTE DE SANTANDER,CUCUTILLA,90,8475,0.0106
